Collisions_CONTRIBUTING FACTOR VEHICLE 1,Collisions_VEHICLE TYPE CODE 1,Collisions_VEHICLE TYPE CODE 2,Collisions_VEHICLE TYPE CODE 3,Arrests_PD_DESC,Arrests_AGE_GROUP,Arrests_PERP_SEX,Arrests_PERP_RACE,Complaint_LAW_CAT_CD,Complaint_PD_DESC,Complaint_PREM_TYP_DESC,Complaint_SUSP_AGE_GROUP,Complaint_SUSP_RACE,Complaint_SUSP_SEX,Complaint_VIC_AGE_GROUP,Complaint_VIC_RACE,Complaint_VIC_SEX,Shooting_LOCATION_DESC,Shooting_STATISTICAL_MURDER_FLAG,Shooting_PERP_AGE_GROUP,Shooting_PERP_SEX,Shooting_PERP_RACE,Shooting_VIC_AGE_GROUP,Shooting_VIC_SEX,Shooting_VIC_RACE,sector index
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,BLACK,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",OPEN AREAS (OPEN LOTS),(null),(null),(null),UNKNOWN,UNKNOWN,D,MULTI DWELL - APT BUILD,FALSE,,,,18-24,M,BLACK,1846
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,VIOLATION,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,25-44,BLACK,F,18-24,BLACK,F,PVT HOUSE,FALSE,18-24,M,BLACK,18-24,M,BLACK,1847
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,BLACK,MISDEMEANOR,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,25-44,BLACK,M,25-44,BLACK,F,PVT HOUSE,FALSE,25-44,M,BLACK,25-44,M,BLACK,1848
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,BLACK,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,",RESIDENCE - PUBLIC HOUSING,(null),(null),(null),25-44,BLACK,F,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,BLACK,18-24,M,BLACK,1849
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,BLACK,VIOLATION,"HARASSMENT,SUBD 3,4,5",RESIDENCE - PUBLIC HOUSING,45-64,BLACK,F,25-44,BLACK,M,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,25-44,M,BLACK,1850
Steering Failure,Pick-up Truck,Sedan,,"TRAFFIC,UNCLASSIFIED INFRACTION",25-44,M,BLACK,,,,,,,,,,,,,,,,,,1885
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,ASSAULT 3,25-44,M,BLACK,,,,,,,,,,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK,18-24,M,BLACK,1886
Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,BLACK,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",STREET,UNKNOWN,UNKNOWN,U,25-44,BLACK,M,PVT HOUSE,TRUE,25-44,M,BLACK,25-44,M,BLACK,1887
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,BLACK,MISDEMEANOR,RECKLESS ENDANGERMENT 2,RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,UNKNOWN,UNKNOWN,E,GROCERY/BODEGA,FALSE,25-44,M,BLACK,18-24,M,BLACK,1888
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,,,,,,,,,,,,,,,,,,1889
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",OTHER,UNKNOWN,BLACK,M,25-44,BLACK,M,,FALSE,18-24,M,BLACK,18-24,M,BLACK,1890
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,BLACK,MISDEMEANOR,CRIMINAL CONTEMPT 1,RESIDENCE-HOUSE,25-44,BLACK,F,25-44,BLACK,M,,FALSE,18-24,M,BLACK,18-24,M,BLACK,1891
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,BLACK,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE HISPANIC,M,PVT HOUSE,FALSE,18-24,M,BLACK,25-44,M,BLACK,1892
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,BLACK,FELONY,"NY STATE LAWS,UNCLASSIFIED FEL",RESIDENCE-HOUSE,25-44,WHITE,M,UNKNOWN,UNKNOWN,E,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,18-24,M,BLACK,1893
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,MISDEMEANOR,"LARCENY,PETIT OF VEHICLE ACCES",STREET,(null),(null),(null),45-64,WHITE,M,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,BLACK,25-44,M,BLACK,1894
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Sedan,ASSAULT 3,25-44,M,BLACK,,,,,,,,,,,FALSE,18-24,M,BLACK,18-24,M,BLACK,1895
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,WHITE HISPANIC,,,,,,,,,,,,,,,,,,1896
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,FELONY,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,(null),(null),(null),45-64,WHITE HISPANIC,F,,FALSE,18-24,M,BLACK,25-44,M,BLACK,1897
Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,ASSAULT 3,25-44,M,BLACK,MISDEMEANOR,"IMPERSONATION 2, PUBLIC SERVAN",RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,WHITE HISPANIC,F,PVT HOUSE,FALSE,25-44,M,BLACK,25-44,M,BLACK,1898
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,BLACK,FELONY,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,WHITE HISPANIC,M,BEAUTY/NAIL SALON,FALSE,25-44,M,BLACK,25-44,F,WHITE HISPANIC,1899
Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"MARIJUANA, POSSESSION 4 & 5",25-44,M,WHITE,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",STREET,(null),(null),(null),45-64,WHITE,M,,,,,,,,,1904
Failure to Yield Right-of-Way,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,WHITE,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,65+,WHITE,M,,,,,,,,,1905
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,WHITE,FELONY,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,45-64,UNKNOWN,M,<18,WHITE,F,,FALSE,,,,25-44,M,BLACK,1906
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE HISPANIC,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE HISPANIC,F,,,,,,,,,1907
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,ASIAN / PACIFIC ISLANDER,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,25-44,ASIAN / PACIFIC ISLANDER,M,MULTI DWELL - APT BUILD,FALSE,45-64,M,ASIAN / PACIFIC ISLANDER,25-44,M,ASIAN / PACIFIC ISLANDER,1908
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,ASIAN / PACIFIC ISLANDER,FELONY,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,ASIAN / PACIFIC ISLANDER,M,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK HISPANIC,<18,F,ASIAN / PACIFIC ISLANDER,1909
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,WHITE HISPANIC,FELONY,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE,F,HOSPITAL,FALSE,25-44,M,BLACK,18-24,M,ASIAN / PACIFIC ISLANDER,1910
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,SPORT UTILITY / STATION WAGON,ASSAULT 3,25-44,M,WHITE HISPANIC,FELONY,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE,F,PVT HOUSE,FALSE,65+,M,WHITE,45-64,M,WHITE,1911
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,WHITE HISPANIC,FELONY,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE,M,,,,,,,,,1912
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,25-44,M,WHITE,FELONY,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,25-44,WHITE,F,,,,,,,,,1913
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,FELONY,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,45-64,UNKNOWN,M,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK,25-44,M,BLACK,1914
Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,"MARIJUANA, POSSESSION 4 & 5",25-44,M,BLACK,MISDEMEANOR,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,UNKNOWN,WHITE HISPANIC,M,25-44,BLACK,F,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,25-44,M,BLACK,1915
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"THEFT OF SERVICES, UNCLASSIFIED",25-44,M,BLACK,FELONY,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,45-64,BLACK,F,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK,18-24,M,BLACK,1916
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,BLACK,FELONY,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,BLACK,F,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK,25-44,M,BLACK,1917
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,BLACK,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",STREET,(null),(null),(null),18-24,BLACK,M,COMMERCIAL BLDG,FALSE,18-24,M,BLACK,25-44,M,BLACK,1918
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"INTOXICATED DRIVING,ALCOHOL",25-44,M,BLACK,FELONY,UNAUTHORIZED USE VEHICLE 2,CHAIN STORE,25-44,BLACK,M,UNKNOWN,UNKNOWN,D,BAR/NIGHT CLUB,FALSE,25-44,M,BLACK,25-44,M,BLACK,1919
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,BLACK,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,25-44,BLACK,M,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,BLACK,25-44,M,BLACK,1920
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,FELONY,"LARCENY,GRAND BY THEFT OF CREDIT CARD",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,25-44,BLACK,F,PVT HOUSE,FALSE,25-44,M,BLACK,25-44,M,BLACK,1921
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,MISDEMEANOR,ASSAULT 3,RESIDENCE - APT. HOUSE,25-44,BLACK,M,45-64,BLACK,M,PVT HOUSE,FALSE,18-24,M,BLACK,18-24,M,BLACK,1922
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,BLACK,F,GROCERY/BODEGA,FALSE,18-24,M,BLACK,25-44,M,BLACK,1923
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,MISDEMEANOR,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,45-64,BLACK,F,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,18-24,M,BLACK,1924
Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"MARIJUANA, POSSESSION 4 & 5",25-44,M,BLACK,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",RESIDENCE - PUBLIC HOUSING,UNKNOWN,UNKNOWN,U,25-44,UNKNOWN,F,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,<18,M,BLACK,1925
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,,,,,,,,,,,,,,,,,,,,,1926
Unspecified,Sedan,,,,,,,,,,,,,,,,,,,,,,,,1943
Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,BLACK,,,,,,,,,,,,,,,,,,1944
Driver Inattention/Distraction,Sedan,Sedan,,"INTOXICATED DRIVING,ALCOHOL",18-24,M,BLACK,,,,,,,,,,,,,,,,,,1960
Driver Inattention/Distraction,Sedan,Sedan,Pick-up Truck,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",25-44,M,BLACK,,,,,,,,,,GROCERY/BODEGA,TRUE,,,,25-44,M,BLACK,1961
Driver Inattention/Distraction,Sedan,Sedan,Motorcycle,WEAPONS POSSESSION 1 & 2,25-44,M,BLACK,,,,,,,,,,,,,,,,,,1962
Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"PROSTITUTION, PATRONIZING 4, 3",25-44,M,BLACK,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE-HOUSE,45-64,UNKNOWN,F,18-24,WHITE,F,,,,,,,,,1966
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,,,,,,,,,,BAR/NIGHT CLUB,FALSE,25-44,M,BLACK,25-44,M,BLACK,1967
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,BLACK,,,,,,,,,,,FALSE,18-24,M,BLACK,18-24,M,BLACK,1968
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Sedan,ASSAULT 3,25-44,M,BLACK,,,,,,,,,,,,,,,,,,1969
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",OTHER,UNKNOWN,UNKNOWN,U,UNKNOWN,UNKNOWN,D,,,,,,,,,1970
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,,,,,,,,,,,,,,,,,,1971
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,25-44,M,BLACK,MISDEMEANOR,ASSAULT 3,RESIDENCE-HOUSE,25-44,WHITE HISPANIC,M,25-44,WHITE,F,,FALSE,25-44,F,BLACK,25-44,M,BLACK,1972
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,FELONY,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,25-44,BLACK,M,45-64,BLACK,F,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,25-44,M,BLACK,1973
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,FELONY,"SEXUAL ABUSE 3,2",RESIDENCE-HOUSE,25-44,WHITE HISPANIC,M,<18,WHITE HISPANIC,F,HOTEL/MOTEL,FALSE,18-24,M,BLACK,25-44,M,BLACK,1974
View Obstructed/Limited,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,,,,,,,1975
Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,"MARIJUANA, POSSESSION 4 & 5",18-24,M,WHITE,,,,,,,,,,,,,,,,,,1980
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE HISPANIC,FELONY,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE - APT. HOUSE,UNKNOWN,WHITE HISPANIC,F,25-44,BLACK,M,,FALSE,25-44,M,WHITE HISPANIC,18-24,M,WHITE,1981
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"THEFT OF SERVICES, UNCLASSIFIED",25-44,M,WHITE HISPANIC,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE HISPANIC,F,,FALSE,25-44,M,ASIAN / PACIFIC ISLANDER,18-24,M,BLACK,1982
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,WHITE HISPANIC,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,ASIAN / PACIFIC ISLANDER,F,MULTI DWELL - APT BUILD,FALSE,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1983
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,ASIAN / PACIFIC ISLANDER,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,ASIAN / PACIFIC ISLANDER,M,MULTI DWELL - APT BUILD,TRUE,25-44,M,WHITE,25-44,M,WHITE HISPANIC,1984
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,"THEFT OF SERVICES, UNCLASSIFIED",25-44,M,WHITE HISPANIC,MISDEMEANOR,UNAUTHORIZED USE VEHICLE 3,COMMERCIAL BUILDING,UNKNOWN,UNKNOWN,U,25-44,WHITE HISPANIC,F,,FALSE,,,,25-44,M,WHITE HISPANIC,1985
Driver Inattention/Distraction,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,ASSAULT 3,25-44,M,WHITE HISPANIC,FELONY,"LARCENY,GRAND OF BICYCLE",STREET,UNKNOWN,UNKNOWN,M,25-44,ASIAN / PACIFIC ISLANDER,M,MULTI DWELL - APT BUILD,FALSE,,,,25-44,M,WHITE HISPANIC,1986
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,25-44,M,WHITE HISPANIC,FELONY,"LARCENY,PETIT FROM BUILDING,UN",RESTAURANT/DINER,UNKNOWN,UNKNOWN,U,25-44,ASIAN / PACIFIC ISLANDER,F,,TRUE,25-44,M,WHITE HISPANIC,45-64,M,WHITE,1987
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,ASSAULT 3,25-44,M,WHITE HISPANIC,FELONY,STRANGULATION 1ST,RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,ASIAN / PACIFIC ISLANDER,M,COMMERCIAL BLDG,FALSE,,,,45-64,F,BLACK,1988
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,BLACK,FELONY,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",RESIDENCE-HOUSE,25-44,ASIAN / PACIFIC ISLANDER,M,25-44,BLACK,F,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,25-44,M,BLACK,1989
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE - APT. HOUSE,25-44,BLACK,M,45-64,BLACK,F,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK,25-44,M,BLACK,1990
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,BLACK,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,PVT HOUSE,FALSE,25-44,M,BLACK,18-24,M,BLACK,1991
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,BLACK,FELONY,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,25-44,BLACK,M,45-64,BLACK,F,BEAUTY/NAIL SALON,FALSE,25-44,M,BLACK,25-44,M,BLACK,1992
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,BLACK,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",MAILBOX OUTSIDE,(null),(null),(null),65+,BLACK,F,MULTI DWELL - APT BUILD,FALSE,18-24,M,WHITE HISPANIC,25-44,M,BLACK,1993
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,FELONY,"LARCENY,PETIT OF LICENSE PLATE",STREET,UNKNOWN,UNKNOWN,U,65+,BLACK,F,COMMERCIAL BLDG,FALSE,25-44,M,BLACK,25-44,M,BLACK,1994
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,PASSENGER VEHICLE,"INTOXICATED DRIVING,ALCOHOL",25-44,M,BLACK,MISDEMEANOR,UNAUTHORIZED USE VEHICLE 3,SMALL MERCHANT,UNKNOWN,UNKNOWN,U,UNKNOWN,UNKNOWN,D,,FALSE,18-24,M,BLACK,<18,M,BLACK,1995
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Sedan,ASSAULT 3,25-44,M,BLACK,MISDEMEANOR,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,25-44,BLACK,M,,FALSE,18-24,M,BLACK,18-24,M,BLACK,1996
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"THEFT OF SERVICES, UNCLASSIFIED",25-44,M,BLACK,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",STREET,UNKNOWN,UNKNOWN,U,45-64,BLACK,M,GROCERY/BODEGA,FALSE,25-44,M,BLACK,25-44,M,BLACK,1997
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Sedan,ASSAULT 3,25-44,M,BLACK,,,,,,,,,,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,25-44,M,BLACK,1998
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,MISDEMEANOR,"LARCENY,PETIT OF VEHICLE ACCES",STREET,UNKNOWN,UNKNOWN,U,45-64,BLACK,F,PVT HOUSE,FALSE,18-24,M,BLACK,18-24,M,BLACK,1999
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,ASSAULT 3,25-44,M,BLACK,VIOLATION,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,M,,,,,,,,,2000
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"INTOXICATED DRIVING,ALCOHOL",25-44,M,BLACK,MISDEMEANOR,"MISCHIEF, CRIMINAL 4, OF MOTOR",RESIDENCE - APT. HOUSE,(null),(null),(null),45-64,BLACK,F,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK,25-44,M,BLACK,2001
Outside Car Distraction,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,,,,,,,2007
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UN",COMMERCIAL BUILDING,(null),(null),(null),45-64,WHITE,M,,FALSE,<18,M,BLACK,<18,F,BLACK,2019
Driver Inattention/Distraction,Sedan,Sedan,SPORT UTILITY / STATION WAGON,"MARIJUANA, POSSESSION 4 & 5",25-44,M,BLACK,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",COMMERCIAL BUILDING,(null),(null),(null),45-64,WHITE,M,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK HISPANIC,45-64,M,BLACK,2047
Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,BLACK,VIOLATION,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,25-44,UNKNOWN,F,GROCERY/BODEGA,TRUE,45-64,M,BLACK HISPANIC,18-24,M,BLACK,2048
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,,,,,,,,,,,,,,,,,,2049
